cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
624-92-0,二甲基二硫,Dimethyl disulfide,"安耐吉	",25g,25,g,1,36.8,running_out,huzhibin,20240819
1529-17-5,三甲基(苯氧基)硅烷,Trimethyl(phenoxy)silane,毕得,5g,5,g,1,60.2,running_out,huzhibin,20240820
610-72-0,"2,5-二甲基苯甲酸
","2,5-Dimethylbenzoic acid",毕得,25g,25,g,1,43,running_out,zhuminghui,20240820
34420-17-2,"2,2-二甲基乙烯基硼酸 ",(2-Methylprop-1-en-1-yl)boronic acid,毕得,5g,5,g,1,307,not_stocked,zhuminghui,20240820
6967-82-4,2-溴-5-甲基苯甲酸, 2-Bromo-5-methylbenzoic acid,毕得,10g,10,g,1,39,not_stocked,zhuminghui,20240820
14559-88-7,苯乙基硼酸 ,Phenethylboronic acid,毕得,5g,5,g,1,52,not_stocked,zhuminghui,20240820
39416-48-3,吡啶鎓三溴化物,Pyridinium Bromide Perbromide,欣恒研,25g,25,g,1,51,running_out,huangyilei,20240820
1980/5/7,双酚A,Bisphenol A,欣恒研,25g,25,g,1,32,running_out,huangyilei,20240820
920-66-1,"1,1,1,3,3,3-六氟丙-2-醇","1,1,1,3,3,3-Hexafluoropropan-2-ol",毕得医药,100g,100,g,1,69.3,running_out,huangyilei,20240820
448-19-1,2-硝基-5-氟苯甲醚,5-Fluoro-2-nitroanisole,毕得医药,100g,100,g,1,81.9,not_stocked,sulingyu,20240821
142-25-6,"N1,N1,N2-三甲基乙烷-1,2-二胺","N1,N1,N2-Trimethylethane-1,2-diamine",毕得医药,5g,5,g,1,30.1,not_stocked,sulingyu,20240821
16940-66-2,硼氢化钠,NaBH4,通广,100G,100,g,1,260,running_out,sulingyu,20240821
6628-86-0,2-硝基-5-氯苯甲醛,5-Chloro-2-nitrobenzaldehyde,毕得医药,25g,25,g,1,70.7,running_out,sulingyu,20240821
531-95-3,(S)-3-(4-羟基苯基)苯并二氢吡喃-7-醇, (S)-3-(4-Hydroxyphenyl)chroman-7-ol,毕得医药,250mg,250,mg,1,339.5,not_stocked,huangyilei,20240821
500-99-2,"3,5-二甲氧基苯酚","3,5-Dimethoxyphenol",毕得医药,1g,1,g,1,27.3,not_stocked,huangyilei,20240821
28478-46-8,4-羟基-2-甲基氧苯甲酸甲酯, Methyl 4-Hydroxy-2-methoxybenzoate,毕得医药,250mg,250,mg,1,209.3,not_stocked,huangyilei,20240821
18113-07-0,4-氯-3-甲氧基苯酚,4-Chloro-3-methoxyphenol,毕得医药,250mg,250,mg,1,72.1,not_stocked,huangyilei,20240821
2628-17-3,4-乙烯基苯酚, 4-Vinylphenol,毕得医药,1g,1,g,1,19.6,not_stocked,huangyilei,20240821
5597-50-2,对羟基苯丙酸甲酯,Methyl 3-(4-hydroxyphenyl)propionate,毕得医药,10g,10,g,1,27.3,not_stocked,huangyilei,20240821
124937-52-6,(R)-2-(3-(二异丙胺基)-1-苯基丙基)-4-甲基苯酚,"(2R,3R)-2,3-二羟基琥珀酸盐 (R)-2-(3-(Diisopropylamino)-1-phenylpropyl)-4-methylphenol (2R,3R)-2,3-dihydroxysuccinate
",毕得医药,1g,1,g,1,106.4,not_stocked,huangyilei,20240821
552-59-0,5-羟基-3-(4-羟基苯基)-7-甲氧基-4H-苯并吡喃-4-酮,5-羟基-3-(4-羟基苯基)-7-甲氧基-4H-苯并吡喃-4-酮,毕得医药,250mg,250,mg,1,221.2,not_stocked,huangyilei,20240821
12650-69-0,莫匹罗星,"	Mupirocin",毕得,5g,5,g,1,247.1,running_out,mengjunhong,20240822
79-34-5,"1,1,2,2-四氯乙烷","1,1,2,2-Tetrachloroethane",百灵威,25ml,25,mL,1,67.15,running_out,huzhibin,20240822
3375-31-3,醋酸钯(II),Palladium(II) acetate,百灵威,1g,1,g,1,298,running_out,huzhibin,20240822
56-85-9,L-谷氨酰胺,L-Glutamine,源叶,5g,5,g,1,11.7,not_stocked,pengjing,20240822
329214-79-1,"3-(4,4,5,5-四甲基-1,3,2-二氧杂硼杂戊环-2-基)吡啶 ","3-(4,4,5,5-Tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine",毕得医药,25,,,1,136.5,not_stocked,shihongwei,20240822
536-74-3,苯乙炔,"	Phenylacetylene",安耐吉,25 mL,25,mL,1,57.6,not_found,wangxi,20240822
59865-13-3,环孢菌素A,Cyclosporin A,毕得医药,5g,5,g,1,289.8,not_stocked,mengjunhong,20240822
79-37-8,草酰氯,Oxalyl Chloride,Adamas,100g,100,g,1,49.5,degraded,huzhibin,20240822
7719/9/7,氯化亚砜,Thionyl chloride,安耐吉,100g,100,g,1,24,running_out,huzhibin,20240822
83-44-3,去氧胆酸,Deoxycholic acid,源叶,5 g,5,g,1,80,running_out,pengjing,20240822
29289-13-2,2-碘-4-甲基苯胺,2-Iodo-4-methylaniline,毕得,5g,5,g,1,41.3,running_out,huzhibin,20240823
61272-76-2,2-碘-4-氟苯胺,4-Fluoro-2-iodoaniline,毕得,5g,5,g,1,30.8,running_out,huzhibin,20240823
19781-86-3,"	8-十六炔","	8-Hexadecyne",阿拉丁,1mL,1,mL,1,326.32,not_stocked,mengjunhong,20240823
22426-14-8,"2-溴-1,10-菲咯啉"," 2-Bromo-1,10-phenanthroline",毕得医药,1g,1,g,1,32.2,not_stocked,shihongwei,20240823
79-37-8,草酰氯,Oxalyl Chloride,阿拉丁,100g,100,g,1,63.92,degraded,huzhibin,20240823
905459-27-0,"[1,3-双(2,6-二异丙基苯)咪唑-2-叉](3-氯吡啶)二氯化钯 
","[1,3-Bis(2,6-Diisopropylphenyl)imidazol-2-ylidene](3-chloropyridyl)palladium(II) dichloride",毕得医药,5g,5,g,1,640,not_stocked,zhuminghui,20240824
62-53-3,苯胺,"	Aniline",jk,100g,100,g,1,53,running_out,zhuminghui,20240824
7647-01-0,盐酸,hydrochloric acid,现代东方,500mL*5,500,ml,5,14,running_out,zhuminghui,20240824
620-08-6,"4-甲氧基吡啶
",4-Methoxypyridine,毕得,100g,100,g,1,186,running_out,zhuminghui,20240824
599-00-8,氘代三氟乙酸,Trifluoroacetic acid-d,安耐吉,25g,25,g,1,350,running_out,admin,20240825
64318-28-1,4-羟基苯乙基氨基甲酸叔丁酯,tert-Butyl 4-hydroxyphenethylcarbamate,毕得医药,1g,1,g,1,28,not_stocked,huangyilei,20240825
88-04-0,"4-氯-3,5-二甲基苯酚","4-Chloro-3,5-dimethylphenol",欣恒研,10g,10,g,1,47,not_stocked,huangyilei,20240825
603-35-0,三苯基膦,Triphenylphosphine,安耐吉,25g,25,g,1,16,running_out,huangyilei,20240825
99-85-4,γ-松油烯,gamma-Terpinene,欣恒研,25ml,25,mL,1,57,running_out,huangyilei,20240825
2350-89-2,"4-乙烯基-1,1'-联苯",4-Vinylbiphenyl,毕得医药,1g,1,g,1,33.6,running_out,huangyilei,20240825
978-86-9,4-三苯甲基苯酚, 4-Tritylphenol,毕得医药,1g,1,g,1,56,running_out,huangyilei,20240825
584-42-9,2-羟基-5-((3-硝基苯基)二氮烯基)苯甲酸钠,"Sodium 2-hydroxy-5-((3-nitrophenyl)diazenyl)benzoate	",毕得医药,100G,100,g,1,71.4,not_stocked,mengjunhong,20240826
10049-08-8,三氯化钌,"	Ruthenium(III) chloride",毕得医药,1 g,1,g,1,92.4,running_out,mengjunhong,20240826
16133-25-8,吡啶-3-磺酰氯 ,PYRIDINE-3-SULFONYL CHLORIDE HYDROCHLORIDE,欣恒研,5g,5,g,1,51,running_out,shihongwei,20240826
75804-28-3,"2,3-二甲基-2,3-丁二胺二盐酸盐 2","3-Dimethyl-2,3-butanediamine Dihydrochloride",TCI,1g,1,g,1,435.5,not_stocked,shihongwei,20240826
22329-76-6,阿魏酸甲酯,"	Methyl ferulate",迈瑞达,5 g,5,g,1,61,not_stocked,wangxi,20240826
6515-37-3,4'-羟基黄烷酮, 4'-Hydroxyflavanot_stocked,aladdin/阿拉丁,250mg,250,mg,1,151.72,not_stocked,huangyilei,20240826
528-43-8,"5,5'-二烯丙基-[1,1'-联苯]-2,2'-二醇","5,5'-Diallyl-[1,1'-biphenyl]-2,2'-diol",毕得医药,5g,5,g,1,62.3,not_stocked,huangyilei,20240826
10309-37-2,补骨脂酚, (+)-Bakuchiol,罗恩,250mg,250,mg,1,281.4,not_stocked,huangyilei,20240826
74772-78-4,"5-(4-羟基苄基)噻唑烷-2,4-二酮","5-(4-Hydroxybenzyl)thiazolidine-2,4-dione",毕得医药,250mg,250,mg,1,289.1,not_stocked,huangyilei,20240826
52522-40-4,三(二亚苄基丙酮)二钯/氯仿加合物, Tris(dibenzylideneacetone)dipalladium-chloroform,毕得,5g,5,g,1,487.9,running_out,zhuminghui,20240827
14221-01-3,四(三苯基膦)钯,Tetrakis(triphenylphosphine)palladium,毕得,10g,10,g,1,496,running_out,zhuminghui,20240827
3375-31-3,醋酸钯,Palladium(II) acetate,毕得,5g,5,g,1,1582,running_out,zhuminghui,20240827
2538-68-3,"吩嗪-1-羧酸
",Phenazine-1-carboxylic acid,毕得,1g,1,g,1,313.6,running_out,zhuminghui,20240827
66086-33-7,"丁炔二酸二叔丁
",Di-Tert-Butyl But-2-Ynedioate,Admas,1 g,1,g,1,392.25,not_stocked,chengzengrui,20240827
3945-69-5,"4-(4,6-二甲氧基三嗪-2-基)-4-甲基吗啉鎓氯化物","4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholin-4-ium chloride",毕得,10 g,10,g,1,39.9,not_stocked,chengzengrui,20240827
89488-29-9,"2-溴-4-甲氧基吡啶
",2-Bromo-4-methoxypyridine,乐研,10 g,10,g,1,433.3,running_out,chengzengrui,20240827
4301-14-8,乙炔基溴化镁,"Ethynylmagnesium bromide, 0.5 M solution in THF, J&KSeal",百灵威J&K,100 mL,100,mL,1,143,running_out,chengzengrui,20240827
246047-72-3,"1,3-双(2,4,6-三甲基苯基)-2-(咪唑烷亚基)(二氯苯亚甲基)(三环己基膦)钌","(1,3-Bis(2,4,6-trimethylphenyl)-2-imidazolidinylidene)dichloro(phenylmethylene)(tricyclohexylphosphine)ruthenium
",毕得,1 g,1,g,1,112.7,not_stocked,chengzengrui,20240827
1968/12/2,"N,N-二甲基甲酰胺",DMF,,500mL,500,mL,1,57,not_stocked,zhuminghui,20240827
620-08-6,"4-甲氧基吡啶
",4-Methoxypyridine,毕得,100gx2,100,g,2,372,running_out,zhuminghui,20240827
10309-37-2,"(S,E)-4-(3,7-二甲基-3-乙烯基辛基-1,6-二烯-1-基)苯酚","(S,E)-4-(3,7-Dimethyl-3-vinylocta-1,6-dien-1-yl)phenol",毕得医药,250mg,250,mg,1,372.4,reorder,huangyilei,20240827
527-54-8,3，4，5-三甲基苯酚,3，4，5-Trimethylphenol,迈瑞达,250mg,250,mg,1,64,not_stocked,huangyilei,20240827
472-41-3,"4-(2,2,4-三甲基色满-4-基)苯酚"," 4-(2,2,4-Trimethylchroman-4-yl)phenol",毕得医药,250mg,250,mg,1,195.3,not_stocked,huangyilei,20240827
,4-(丙-1-烯-2-基)苯酚,4-(Prop-1-en-2-yl)phenol,毕得医药,250mg,250,mg,1,84.7,not_stocked,huangyilei,20240827
866546-09-0,"3-溴-5-氯-1H-吡咯并[2,3-B]吡啶","3-bromo-5-chloro-1H-pyrrolo[2,3-b]pyridine",毕得医药,5g,5,g,1,191.8,not_stocked,xuguofeng,20240828
72287-26-4,DPPF二氯化钯,"[1,1'-Bis(diphenylphosphino)ferrocene]dichloropalladium(II)",毕得医药,1g,1,g,1,98.7,not_stocked,xuguofeng,20240828
87789-51-3,2-氯-5-氟-4-(甲硫基)嘧啶,2-Chloro-5-fluoro-4-(methylthio)pyrimidine,毕得医药,5g,5,g,1,572.6,not_stocked,xuguofeng,20240828
1193-82-4,甲基苯基亚砜,(Methylsulfinyl)benzene,毕得医药,5g,5,g,1,42,not_stocked,huzhibin,20240828
107-15-3,乙二胺,Ethylenediamine,通广,500ml,500,mL,1,144,running_out,huzhibin,20240828
110-70-3,"N,N'-二甲基乙二胺","N1,N2-Dimethylethane-1,2-diamine",毕得医药,5g,5,g,1,24.5,running_out,huzhibin,20240828
497-19-8,"碳酸钠,无水","Sodium Carbonate
",泰坦,500g,500,g,1,14,common_public,huzhibin,20240828
1730-48-9,6-甲氧基-1，2，3，4-四氢萘,"	6-Methoxy-1，2，3，4-tetrahydronaphthalene",迈瑞达,5 mL,5,mL,1,143,not_stocked,wangxi,20240828
833-48-7,,"10,11-Dihydro-5h-Dibenzo[a,d]Cycloheptene",源叶,1g,1,g,1,161.8,not_stocked,wangxi,20240828
95-54-5,"邻苯二胺
",o-Phenylenediamine,伊诺凯,25g,25,g,1,64,running_out,zhuminghui,20240828
546-67-8,"四乙酸铅
",Lead(IV) acetate,伊诺凯,100gx2,100,g,2,438,running_out,zhuminghui,20240828
95-78-3,"	2,5-二甲基苯胺","	2,5-Dimethylaniline
",jk,75g,75,g,1,153,running_out,zhuminghui,20240828
920-66-1,"	六氟异丙醇","	HFIP
",毕得,500G,500,g,1,179.9,running_out,admin,20240715
108-24-7,乙酸酐,Acetic anhydride,校内库房（国药）,500 ml,500,mL,1,58,running_out,admin,20240617
2198-66-5,2-溴-4-叔丁基苯酚,2-Bromo-4-tert-butylphenol,毕得医药,10g,10,g,1,26.6,not_stocked,huangyilei,20240829
38941-98-9,4-(叔丁基)-2-碘苯酚, 4-(tert-Butyl)-2-iodophenol,毕得医药,1g,1,g,1,150.5,not_stocked,huangyilei,20240829
3209-13-0,3-甲氧基-5-甲基苯酚 ,3-Methoxy-5-methylphenol,毕得医药,250mg,250,mg,1,83.3,not_stocked,huangyilei,20240829
82121-06-0,7-溴-4-羟基喹啉,7-BROMO-4-HYDROXYQUINOLINE,毕得医药,5g,5,g,1,120.4,not_stocked,xuguofeng,20240830
141095-78-5,2 - 溴 - 1 - (四氢 - 2H - 吡喃 - 4 - 基)乙酮,2-BroMo-1-(Tetrahydro-pyran-4-yl)-ethanot_stocked,毕得医药,1g,1,g,1,254.1,not_stocked,xuguofeng,20240830
273-09-6,"	苯并呋喃","	BENZOFURAZAN
",jk,,,,1,113,not_stocked,zhuminghui,20240830
822-67-3,2-环己烯-1-醇,Cyclohex-2-enol,毕得,1 g,1,g,1,47.6,not_found,wangxi,20240831
84-16-2,己烷雌酚,Hexestrol,迈瑞达,1g,1,g,1,168,not_stocked,huangyilei,20240901
22802-37-5,"2,3-二甲基-4-溴苯酚"," 4-Bromo-2,3-dimethylphenol",毕得医药,1g,1,g,1,88.2,not_stocked,huangyilei,20240901
61166-00-5,"3,3′-亚乙基二氧二苯酚","3,3′-(Ethylenedioxy)diphenol",Aladdin,5g,5,g,1,240.94,not_stocked,huangyilei,20240901
79326-96-8,3-硝基苯磺酸一水合物, 3-Nitrobenzenesulfonic acid hydrate,毕得医药,1g,1,g,1,182.7,not_stocked,huangyilei,20240901
1570-45-2,异烟酸乙酯, Ethyl isonicotinate,毕得医药,100g,100,g,1,73.5,not_stocked,huangyilei,20240901
920-66-1,"1,1,1,3,3,3-六氟丙-2-醇"," 1,1,1,3,3,3-Hexafluoropropan-2-ol",毕得医药,100g,100,g,1,69.3,not_stocked,huangyilei,20240901
3483/12/3,DL-二硫苏糖醇(DTT), DL-dithiothreitol,欣恒研,5g,5,g,1,190,not_stocked,huangyilei,20240901
62-53-3,苯胺,    Aniline,MREDA,100mL,100,mL,1,14.5,not_stocked,huangyilei,20240901
1121-60-4,2-吡啶甲醛,2-Pyridinecarboxaldehyde,毕得医药,25g,25,g,1,44.1,not_stocked,huangyilei,20240901
866546-09-0,"3-溴-5-氯-1H-吡咯并[2,3-b]吡啶?","3-Bromo-5-chloro-1H-pyrrolo[2,3-b]pyridine",毕得,5g,5,g,1,191.8,running_out,xuguofeng,20240902
693-25-4,戊烷溴化镁,Pentylmagnesium Bromide,欣恒研,100mL,100,mL,1,171,not_stocked,wangxi,20240902
109-99-9,四氢呋喃,Tetrahydrofuran,通广,AR 500ML,,,1,190,running_out,huangyilei,20240902
68109-03-5,,Tetrabutylammonium decatungstate,毕得医药,100mg,100,mg,1,101.5,not_stocked,zhaobinzhi,20240902
16774-21-3,"	硝酸铈铵",Ceric ammonium nitrate,阿拉丁,100 g x 2,100,g,2,22.4,running_out,wangxi,20240903
3878-44-2,硒化三苯膦,TRIPHENYLPHOSPHINE SELENIDE,阿拉丁,5g,5,g,1,500,not_stocked,zhuminghui,20240903
4333-62-4,"1,3-二甲基碘化咪唑 ","1,3-Dimethyl-1H-imidazol-3-ium",毕得,25g,25,g,1,63,not_stocked,zhuminghui,20240903
2622-14-2,"三环己基膦
",Tricyclohexylphosphine,毕得,10g,10,g,1,37,degraded,zhuminghui,20240903
13965-03-2,双(三苯基膦)二氯化钯(II),Dichlorobis(triphenylphosphine)palladium(II),百灵威J&K,5g,5,g,1,345,running_out,huzhibin,20240904
70-55-3,对甲苯磺酰胺, 4-Methylbenzenesulfonamide,毕得,100g,100,g,1,42,not_stocked,zhuminghui,20240904
13826-27-2,"2,2'-联苯并[d][1,3,2]二氧硼戊环",",2'-Bibenzo[d][1,3,2]dioxaborole",毕得医药,25g,25,g,1,123.2,running_out,huangyilei,20240904
106-22-9,"3,7-二甲基辛-6-烯-1-醇","3,7-Dimethyloct-6-en-1-ol",毕得医药,100g,100,g,1,46.9,not_stocked,huangyilei,20240904
106-24-1,"(E)-3,7-二甲基辛烷-2,6-二烯-1-醇"," (E)-3,7-Dimethylocta-2,6-dien-1-ol",毕得医药,25g,25,g,1,25.9,not_stocked,huangyilei,20240904
38730-39-1,"2,4-二溴-3,5-二甲基苯酚"," 2,4-dibromo-3,5-dimethylphenol",罗恩,25g,25,g,1,115,not_stocked,huangyilei,20240904
1571-75-1,"4,4-(1-苯基乙烷-1,1-二基)二苯酚"," 4,4-(1-Phenylethane-1,1-diyl)diphenol",毕得医药,5g,5,g,1,37.1,not_stocked,huangyilei,20240904
56718-71-9,对甲氧乙基苯酚, p-(2-Methoxyethyl) phenol,毕得医药,5g,5,g,1,23.8,not_stocked,huangyilei,20240904
88798-13-4,3-(二氟甲氧基)苯酚,3-(Difluoromethoxy)phenol,毕得医药,1g,1,g,1,137.2,not_stocked,huangyilei,20240904
5085-95-0,1，4-双(3-羟基苯氧基)苯, 1，4-Bis(3-hydroxyphenoxy)benzene,MREDA,200mg,200,mg,1,173.5,not_stocked,huangyilei,20240904
22080-96-2,"4-羟基-2,6-二甲氧基苯甲醛","2,6-Dimethoxy-4-hydroxybenzaldehyde",毕得医药,1g,1,g,1,57.4,not_stocked,huangyilei,20240904
855400-66-7,3-溴-5-甲氧基苯酚, 3-Bromo-5-methoxyphenol,毕得医药,1g,1,g,1,135.1,not_stocked,huangyilei,20240904
65262-96-6,3-氯-5-甲氧基苯酚,3-Chloro-5-methoxyphenol,毕得医药,1g,1,g,1,81.9,not_stocked,huangyilei,20240904
106-42-3,对二甲苯,,通广,500mL*3,500,ml,3,32.2,running_out,zhaobinzhi,20240904
123-86-4,乙酸丁酯,,通广,500mL*5,500,ml,5,13,running_out,zhaobinzhi,20240904
110-82-7,环己烷,"
Cyclohexane",通广,500mL*2,500,ml,2,11,not_stocked,zhaobinzhi,20240904
540-88-5,乙酸叔丁酯,Tert-butyl acetate,伊诺凯,100ML,100,mL,1,36,common_public,huzhibin,20240904
920-66-1,"1,1,1,3,3,3-六氟丙-2-醇","1,1,1,3,3,3-Hexafluoropropan-2-ol",毕得,100g,100,g,1,69.3,common_public,huzhibin,20240904
121-03-9,对硝基苯基邻磺酸,p-Nitrotoluene-o-sulfonic acid,"乐研
","10g	",10,g,1,21,not_stocked,huzhibin,20240904
13737-04-7,2-三甲硅基吡啶 ,2-(Trimethylsilyl)pyridine,毕得,5g,5,g,1,116.2,not_stocked,huzhibin,20240904
63428-13-7,泰万菌素（已取消，换另一个）,Tylvalosin tartrate,毕得,25G,25,g,1,224.7,not_stocked,mengjunhong,20240905
74610-55-2,酒石酸泰洛星,Tylosin tartrate,安耐吉,100G,100,g,1,90,not_stocked,mengjunhong,20240905
13463-67-7,纳米二氧化钛,Titanium dioxide,罗恩,1g,1,g,1,25.2,not_stocked,zhaobinzhi,20240905
1293990-73-4,O-新戊酰羟胺三氟甲磺酸盐 ,O-Pivaloylhydroxylamine trifluoromethanesulfonate,毕得,5g,5,g,1,408,not_stocked,zhuminghui,20240905
91-60-1,2-萘硫酚,Naphthalene-2-thiol,乐研,10 g,10,g,1,129.5,running_out,wangxi,20240905
623-08-5,N-甲基对甲苯胺,"N,4-Dimethylaniline ",乐研,25 g,25,g,1,21.7,running_out,wangxi,20240905
939-90-2,反式-2-苯基环丙烷-羧酸,trans-2-Phenylcyclopropanecarboxylic acid,毕得,10g,10,g,1,183.4,not_stocked,mengjunhong,20240906
14044-65-6,硼烷四氢呋喃络合物,Borane-tetrahydrofuran complex,百灵威,200mL,200,mL,1,102,running_out,mengjunhong,20240906
4064/6/6,"((3aR,5R,5aS,8aS,8bR)-2,2,7,7-四甲基四氢-3aH-双([1,3]二氧杂戊环)[4,5-b:4',5'-d]吡喃-5-基)甲醇","((3aR,5R,5aS,8aS,8bR)-2,2,7,7-Tetramethyltetrahydro-3aH-bis([1,3]dioxolo)[4,5-b:4',5'-d]pyran-5-yl)methanol",毕得医药,1g,1,g,1,25.2,running_out,huangyilei,20240906
2444-19-1,4-羟基苯基 苯甲酸酯,4-Hydroxyphenyl benzoate,毕得医药,1g,1,g,1,77,not_stocked,huangyilei,20240906
461-84-7,4-(三氟甲硫基)苯酚,4-(Trifluoromethylthio)phenol,毕得医药,25g,25,g,1,30.8,not_stocked,huangyilei,20240906
126070-20-0,4-(((叔丁基二甲基甲硅烷基)氧基)甲基)苯酚,4-(((tert-Butyldimethylsilyl)oxy)methyl)phenol,毕得医药,250mg,250,mg,1,172.2,not_stocked,huangyilei,20240906
18274-81-2,"5-(4-羟基苯基)-3H-1,2-二硫-3-硫酮","5-(4-Hydroxyphenyl)-3H-1,2-dithiole-3-thione",毕得医药,250mg,250,mg,1,217,not_stocked,huangyilei,20240906
5471-51-2,4-(4-羟基苯基)-2-丁酮,4-(4-Hydroxyphenyl)-2-butanot_stocked,安耐吉,25g,25,g,1,20,not_stocked,huangyilei,20240906
60-82-2,"2',4',6'-三羟基-3-(4-羟基苯基)苯丙酮","3-(4-Hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",毕得医药,1g,1,g,1,21.7,not_stocked,huangyilei,20240906
7300-91-6,4-马来酰亚胺基苯酚,"1-(4-Hydroxyphenyl)-1H-pyrrole-2,5-dione",毕得医药,5g,5,g,1,24.5,not_stocked,huangyilei,20240906
34071-95-9,羟苯基丙酸N-羟基琥珀酰亚胺酯,3-(p-Hydroxyphenyl)propionicacid-N-hydroxysuccinimideester,乐研,250mg,250,mg,1,302.4,not_stocked,huangyilei,20240906
358-23-6,三氟甲磺酸酐,Trifluoromethanesulfonic anhydride,毕得医药,25g,25,g,1,53.9,not_stocked,huangyilei,20240907
34946-82-2,三氟甲磺酸铜 ,Copper(II) trifluoromethanesulfonate,毕得医药,5g,5,g,1,25.9,not_stocked,huangyilei,20240907
112-88-9,1-十八烯,1-Octadecene,毕得,100G,100,g,1,42.7,not_stocked,mengjunhong,20240909
866546-09-0,"3-溴-5-氯-1H-吡咯并[2,3-b]吡啶","3-Bromo-5-chloro-1H-pyrrolo[2,3-b]pyridine",毕得,10g,10,g,1,362.6,running_out,xuguofeng,20240909
71441-28-6,"4-[(E)-2-(5,6,7,8-四氢-5,5,8,8-四甲基-2-萘基)-1-丙烯基]苯甲酸","(E)-4-(2-(5,6,7,8-Tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propen-1-yl)benzoic acid",毕得,50mg,50,mg,1,568.4,not_stocked,xuguofeng,20240909
1421227-53-3,N-(6-(4-(2-((4-((4-甲基哌嗪-1-基)甲基)-3-(三氟甲基)苯基)氨基)-2-氧乙基)苯氧基)嘧啶-4-基)环丙酰胺,4-[[6-[(cyclopropylcarbonyl)amino]-4-pyrimidinyl]oxy]-N-[4-[(4-methyl-1-piperazinyl)methyl]-3-(trifluoromethyl)phenyl]-benzeneacetamide,毕得,10mg,10,mg,1,189.7,not_stocked,xuguofeng,20240909
56-81-5,甘油,Glycerol,麦克林(Macklin),500mL,500,mL,1,47.2,running_out,yanglicheng,20240909
557-34-6,醋酸锌,Zinc acetate,毕得,100g,100,g,1,40.6,running_out,huzhibin,20240909
7681-65-4,碘化亚铜,Copper(I) iodide,毕得,25g,25,g,1,35.7,running_out,huzhibin,20240909
694-59-7,吡啶-N-氧化物,Pyridine 1-oxide,毕得,25g,25,g,1,83.3,degraded,huzhibin,20240909
35836-73-8,"2-((1R,5S)-6,6-二甲基双环[3.1.1]庚烷-2-烯-2-基)乙醇"," 2-((1R,5S)-6,6-Dimethylbicyclo[3.1.1]hept-2-en-2-yl)ethanol",毕得医药,25g,25,g,1,74.9,not_stocked,huangyilei,20240909
177-11-7,"1,4-二氧杂-8-氮杂螺[4.5]癸烷","1,4-Dioxa-8-azaspiro[4.5]decane",毕得医药,10g,10,g,1,53.2,not_stocked,huangyilei,20240909
110-46-3,亚硝酸异戊酯," Isopentyl nitrite, 98%",百灵威J&K,100ML,100,mL,1,294.95,running_out,huangyilei,20240909
65-22-5,吡哆醛盐酸盐,Pyridoxalhydrochloride,乐妍,5g,5,g,1,69.3,not_stocked,huangyilei,20240909
128607-22-7,奥培米芬,Ospemifene,阿拉丁,1g,1,g,1,264.34,not_stocked,huangyilei,20240909
56-75-7,氯霉素 ,Chloramphenicol,,5g,5,g,1,18,not_stocked,huangyilei,20240909
4143-63-9,4'-羟基黄酮, 4'-Hydroxyflavone,MREDA,1g,1,g,1,334,not_stocked,shihongwei,20240910
142-71-2,无水醋酸铜,Cupric acetate anhydrous,伊诺凯,25g,25,g,1,16,running_out,huzhibin,20240910
380430-58-0,E)-(4-(3-甲氧基-3-氧代丙-1-烯-1-基)苯基)硼酸 ,(E)-(4-(3-Methoxy-3-Oxoprop-1-En-1-Yl)Phenyl)Boronic Acid,Adamas,1g,1,g,1,320,not_stocked,shihongwei,20240910
1462-03-9,"2,3-丁二烯酸乙酯","Ethyl buta-2,3-dienoate",毕得,1G,1,g,1,268.1,not_stocked,huzhibin,20240911
775304-57-9,"3-[5-(2-氟苯基)-1,2,4-噁二唑-3-基]苯甲酸"," 3-(5-(2-Fluorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid",毕得,1 g,1,g,1,206.5,not_stocked,wangxi,
599-00-8,氘代三氟乙酸,Trifluoroacetic acid-d(TMS),乐研,,,,1,,running_out,admin,
72002-25-6,N-甲基-1-咪唑甲酰胺,N-Methyl-1-imidazolecarboxamide,毕得,250mg,250,mg,1,26.6,not_stocked,huzhibin,20240913
104-12-1,对氯苯基异氰酸酯,4-Chlorophenylisocyanate,毕得,25g,25,g,1,25.9,running_out,huzhibin,20240913
622-58-2,对甲基苯异氰酸酯,1-Isocyanato-4-methylbenzene,毕得,5g,5,g,1,25.2,running_out,huzhibin,20240913
5416-93-3,4-甲氧基苯异氰酸酯,4-Methoxyphenylisocyanate,毕得,1g,1,g,1,34.3,running_out,huzhibin,20240913
1548-13-6,4-三氟甲基苯异氰酸酯,4-(Trifluoromethyl)phenylisocyanate,毕得,1g,1,g,1,26.6,running_out,huzhibin,20240913
29684-56-8,N-(三乙基铵磺酰)氨基甲酸甲酯,Burgess reagent,毕得,5g,5,g,1,30.8,running_out,huzhibin,20240913
1122-83-4,N-亚磺酰苯胺,N-Sulfinylbenzenamine,毕得,5g,5,g,1,36.4,not_stocked,huzhibin,20240913
