cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
7772-98-7,硫代硫酸钠,Sodiumthiosulfate,毕得,500g,500,g,1,462,not_found,zhangcaifang,
127-09-3,乙酸钠,Sodium acetate,虹湖联合,500g,500,g,1,460.7,not_stocked,xuguofeng,
142-96-1,正丁醚 超干,Di-n-butyl ether,迈瑞达,100mL,100,mL,1,459.9,not_stocked,chenlei,
142-96-1,正丁醚 超干,Di-n-butyl ether,迈瑞达,100mL,100,mL,1,456,not_stocked,chenlei,
131274-22-1,,Tri-tert-butylphosphine tetrafluoroborate,安耐吉,1g,1,g,1,452,running_out,lichao,20211215
108-59-8,丙二酸二甲酯,,毕得,100g,100,g,1,447,not_stocked,zhaoxinyi,
1070-78-6,"1,1,1,3-四氯丙烷","1,1,1,3-Tetrachloropropane",毕得,25g,25,g,1,446,not_stocked,chenlei,
150-76-5,4-甲氧基苯酚,Mequinol,,25g,25,g,1,432,running_out,chenlei,
7517-19-3,L-亮氨酸甲酯盐酸盐,Methyl L-leucinate hydrochloride,毕得医药,10g,10,g,1,428.25,not_stocked,xuguofeng,
13679-70-4,5-甲基-2-噻吩甲醛,5-Methylthiophene-2-carboxaldehyde,安耐吉,5g,5,g,1,427.5,not_stocked,sulingyu,
4105-38-8,"2',3',5'-三乙酰尿苷",Uridine Triacetate,毕得,1g,1,g,1,418,not_stocked,zhanghongliang,
2526-64-9,二氯三苯基膦,DICHLOROTRIPHENYLPHOSPHORANE,安耐吉,1 g,1,g,1,417,not_stocked,lvbin,
95-96-5,DL-丙交酯,DL-Lactide,安耐吉,1g,1,g,1,412,not_stocked,zhaobinzhi,
32449-92-6,葡醛内酯,D-Glucurone,安耐吉,25g,25,g,1,409,not_stocked,zhaobinzhi,
14647-23-5,"1,2-双(二苯基膦)乙烷氯化镍","1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",毕得,5g,5,g,1,402,not_stocked,lvbin,
22385-77-9,"1-溴-3,5-二叔丁基苯","
1-Bromo-3,5-di-tert-butylbenzene",毕得,5g,5,g,1,398,not_stocked,lvbin,
1761-61-1,5-溴-2-羟基苯甲醛,5-Bromo-2-hydroxybenzaldehyde,毕得,10g,10,g,1,396,running_out,huotongyu,
